,Metric,Group1,Group2,Mean Difference,p-value,Lower CI,Upper CI
0,relevance_score,Group pair 1,Unknown,-0.23191214470284294,0.010841166838606031,-0.4246464292931845,-0.03917786011250138
1,relevance_score,Group pair 3,Unknown,-0.32887231241772685,8.153199141469614e-05,-0.5225114874184456,-0.13523313741700815
2,correctness_score,Group pair 1,Unknown,-0.2697028423772614,0.0035965704341094362,-0.4724054884478421,-0.06700019630668069
3,correctness_score,Group pair 3,Unknown,-0.36902150065818384,2.1313307072223786e-05,-0.572675838748569,-0.16536716256779874
4,correctness_score,Group pair 5,Unknown,0.22310367311454016,0.024805167429041597,0.019929071012268457,0.42627827521681183
5,fluency_score,Group pair 1,Unknown,-0.2599052540913003,0.007920416952967857,-0.4693709871236673,-0.05043952105893326
6,coherence_score,Group pair 1,Unknown,-0.2834194659776057,0.002896871758626296,-0.4927232181737068,-0.07411571378150464
7,coherence_score,Group pair 3,Unknown,-0.23747257569109292,0.01956414249576144,-0.44775901220109676,-0.027186139181089086
8,coherence_score,Group pair 5,Unknown,0.23729623994783777,0.019290089723623227,0.027505162251949627,0.4470873176437259
9,overall_score,Group pair 1,Unknown,-0.26123492678725224,0.0006020617366051528,-0.4337027172155465,-0.088767136358958
10,overall_score,Group pair 3,Unknown,-0.27344229925405905,0.00030939204475410875,-0.44671982859304693,-0.10016476991507117
11,overall_score,Group pair 5,Unknown,0.18959465333623182,0.025054996916583083,0.016725303206853476,0.36246400346561014
