,,mean,std_err,ci_lower,ci_upper,count
Google,relevance_score,3.9069767441860463,0.05788031759251432,3.792888198582467,4.021065289789626,215
Google,correctness_score,3.744186046511628,0.0637402344409942,3.618546952839054,3.8698251401842017,215
Google,fluency_score,3.86046511627907,0.06075199861357518,3.740716167886467,3.980214064671673,215
Google,coherence_score,3.781395348837209,0.06232571115285892,3.658544437942102,3.904246259732316,215
Google,overall_score,3.8232558139534882,0.05212996834714796,3.720501846482931,3.9260097814240456,215
Anthropic,relevance_score,4.138888888888889,0.04950950920357723,4.041302719140898,4.236475058636881,216
Anthropic,correctness_score,4.013888888888889,0.051872419631834185,3.9116452829865014,4.116132494791278,216
Anthropic,fluency_score,4.12037037037037,0.0546838006430078,4.01258536628012,4.228155374460621,216
Anthropic,coherence_score,4.064814814814815,0.055119592903107695,3.95617083841494,4.17345879121469,216
Anthropic,overall_score,4.0844907407407405,0.04396639151350995,3.997830383680808,4.171151097800673,216
OpenAI,relevance_score,4.065420560747664,0.05111286479290106,3.9646687275853147,4.1661723939100135,214
OpenAI,correctness_score,3.967289719626168,0.05437528950020359,3.86010711270174,4.074472326550596,214
OpenAI,fluency_score,4.0,0.054219525280030406,3.893124429881025,4.106875570118976,214
OpenAI,coherence_score,4.018691588785047,0.05379813837011737,3.912646641324699,4.124736536245394,214
OpenAI,overall_score,4.01285046728972,0.045115300201742,3.9239208168501984,4.101780117729241,214
GROK,relevance_score,4.235849056603773,0.0535362118220405,4.130314693738439,4.341383419469107,212
GROK,correctness_score,4.113207547169812,0.05249796538171219,4.009719849035659,4.216695245303964,212
GROK,fluency_score,4.018867924528302,0.060904045007981446,3.898809568378553,4.138926280678051,212
GROK,coherence_score,4.018867924528302,0.05904023280932244,3.9024836466555137,4.135252202401091,212
GROK,overall_score,4.096698113207547,0.048453155959512606,4.001183829156231,4.192212397258864,212
